序号,流派名称,兵力配比,法术配比,打法精要,细节警示,演示视频
1,十本-气球苍蝇-清边流,20气球+70苍蝇,5闪电/4狂暴+1闪电,,,
2,十本-气球苍蝇-爆本流,35气球+50苍蝇,1闪电+3狂暴+1冰冻,,,
3,十本-野猪流-高等级墙,40猪+20胡子+10苍蝇+2女巫+2法师,1狂暴+3加血+1冰冻,,,
4,十本-野猪流-普通等级墙,41猪+3女巫+18胡子+4法师,3加血+2冰冻,,,
5,十本-石法流-不勾联盟,3石头+21大胡子+3女巫+21法师+22炸弹,1闪电+2狂暴+2冰冻,,,
6,十本-石法流-勾联盟,3石头+23大胡子+2女巫+23法师+23炸弹,3狂暴+2冰冻,,,
7,十本-龙流,12龙+1石头/13龙,5狂暴/4狂暴+1冰冻/3狂暴+2冰冻/2狂暴+3闪电,,,
8,十本-屌丝流,90大胡子+145弓箭+2女巫+4法师,1狂暴+4闪电,,,
9,十本-女巫流,16女巫+1石头+23炸弹,1加血+2狂暴+2冰冻,,,
10,九本-气球苍蝇-清边流,20气球+60苍蝇,4狂暴/1狂暴+3闪电,,,
11,九本-气球苍蝇-爆本流,32气球+30苍蝇,3狂暴+1加血/2狂暴+2加血,,,
12,九本-野猪流,36猪+14大胡子+2女巫+8法师,4加血,,,
13,九本-石法流,3石头+14大胡子+20炸弹+3女巫+17法师,1闪电+2狂暴+1跳墙/1加血+3狂暴,,,
14,九本-皮卡法师流,6皮卡+14法师+22炸弹,2闪电+2狂暴,,,
15,九本-胖子法师流,20胖子+16法师+20炸弹+12胡子+2女巫,2加血+2狂暴,,,
16,九本-屌丝流,89胡子+120弓箭+2女巫+4法师,1狂暴+4闪电,,,
17,九本-龙流-清边流,12龙,4狂暴/3闪电+1狂暴,,,
18,九本-龙流-爆本流,12龙,4狂暴/3闪电+1狂暴,,,
